268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435579,-1,-1,-1,-1,-1,-1,268435577,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435579,-1,-1,-1,-1,-1,-1,268435577,268435578,268435578,268435578,268435578,268435578,268435598,268435598,268435598,268435598,268435598,268435578,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435579,-1,-1,-1,-1,-1,-1,268435577,268435578,268435578,268435578,268435578,268435579,-1,-1,-1,-1,-1,268435577,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435598,268435599,-1,-1,-1,-1,-1,-1,268435577,268435578,268435578,268435598,268435598,268435599,-1,-1,67,-1,-1,268435577,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435598,268435599,-1,-1,-1,-1,-1,-1,-1,-1,268435597,268435598,268435599,-1,-1,-1,-1,268435517,268435519,-1,-1,268435577,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1073741892,-1,1073741949,-1,-1,-1,-1,268435577,268435579,-1,-1,268435577,268435578,268435578,268435578
268435578,268435578,268435578,268435598,268435598,268435599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,44,68,-1,268435577,268435579,-1,-1,268435577,268435578,268435578,268435578
268435578,268435578,268435579,-1,1073741949,-1,-1,-1,-1,-1,-1,68,151,-1,-1,-1,-1,-1,-1,-1,268435497,268435498,268435498,268435498,268435598,268435599,-1,-1,268435597,268435598,268435598,268435598
268435598,268435598,268435599,-1,-1,-1,-1,-1,-1,-1,-1,268435497,268435499,-1,-1,68,-1,68,151,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1073741699,-1,-1,-1,-1,-1,-1,-1,268435485,-1,-1,-1,-1,-1,268435497,268435498,268435498,268435498,268435499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111
-1,-1,-1,-1,-1,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,268435517,268435519,68,-1,-1,68,-1,-1,-1,131
-1,-1,268435477,268435478,268435478,268435478,268435479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,268435517,268435578,268435578,268435558,268435558,268435558,268435558,268435558,268435558,268435558,268435558
268435478,268435478,268435578,268435578,268435578,268435578,268435579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,268435517,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435479,68,-1,-1,-1,-1,-1,68,127,-1,-1,-1,126,268435577,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435479,151,124,68,268435477,268435478,268435518,268435519,-1,-1,-1,268435517,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435478,268435478,268435478,268435578,268435578,268435578,268435578,268435518,268435518,268435518,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578
268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578,268435578
